Incident Title,Severity,Incident Date,Location,Reported By,Incident Type,Incident Category,Brief of Incident,Action Taken,Incident Status,Closed On
Network Outage,Critical,16/02/2025 06:00,Zone 2,Admin,System,Failure,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Closed,21/02/2025 06:00
System Slowness,Critical,11/04/2025 20:00,Zone 4,Operator 1,Property,Recovery,High alert occurred in Zone 5.,Issue investigated. Status: Open.,Open,
T2,Medium,12/09/2025 00:00,Zone 1,Monitoring Bot,People,Performance,Network Outage occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,17/09/2025 00:00
T2,Low,20/05/2025 14:00,Zone 3,Operator 1,Network,Traffic,High Traffic occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,24/05/2025 14:00
T2,Critical,01/10/2025 02:00,Zone 2,Monitoring Bot,People,Performance,T2 occurred in Zone 1.,Issue investigated. Status: Open.,Open,
High alert,Medium,27/08/2025 17:00,Zone 2,Team A,System,Traffic,DB Failure occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,28/08/2025 17:00
Network Outage,High,05/05/2025 02:00,Zone 5,Team A,People,Sabotage,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,Open,08/05/2025 02:00
High Traffic,Medium,20/08/2025 01:00,Zone 3,Admin,Network,Traffic,Login Issue occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,21/08/2025 01:00
Network Outage,Low,24/11/2025 06:00,Zone 2,VELMURUGAN Sri,Property,Performance,Network Outage occurred in Zone 3.,Issue investigated. Status: Closed.,Open,
High alert,Critical,12/01/2025 17:00,Zone 3,Operator 1,Network,Failure,Incident Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,13/01/2025 17:00
High alert,High,18/11/2025 00:00,Zone 4,Monitoring Bot,System,Recovery,T2 occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
Incident Test,Low,22/09/2025 10:00,Zone 5,Monitoring Bot,Network,Sabotage,T2 occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,30/09/2025 10:00
DB Failure,High,21/07/2025 21:00,Zone 5,Monitoring Bot,People,Traffic,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,22/07/2025 21:00
Login Issue,Low,12/11/2025 11:00,Zone 3,Monitoring Bot,Property,Traffic,Email Delay occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Network Outage,High,22/02/2025 02:00,Zone 1,VELMURUGAN Sri,System,Sabotage,System Slowness occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
Login Issue,Low,21/06/2025 02:00,Zone 5,Operator 1,Network,Traffic,T2 occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,01/07/2025 02:00
High alert,Low,23/04/2025 00:00,Zone 3,Monitoring Bot,People,Performance,High alert occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,03/05/2025 00:00
Network Outage,Low,21/08/2025 14:00,Zone 3,Monitoring Bot,People,Recovery,Incident Test occurred in Zone 4.,Issue investigated. Status: Closed.,Open,30/08/2025 14:00
High Traffic,Low,17/07/2025 01:00,Zone 2,Operator 1,Property,Recovery,Network Outage occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,23/07/2025 01:00
Network Outage,Low,22/08/2025 00:00,Zone 2,Monitoring Bot,People,Traffic,Incident Test occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,26/08/2025 00:00
Incident Test,Medium,29/07/2025 18:00,Zone 3,Team A,People,Performance,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
High alert,Low,11/03/2025 17:00,Zone 4,Operator 1,Network,Traffic,Test occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,17/03/2025 17:00
Test,High,25/05/2025 00:00,Zone 4,Team A,Network,Failure,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,17/10/2025 00:00,Zone 1,Monitoring Bot,People,Traffic,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,Open,18/10/2025 00:00
Test,Low,08/09/2025 19:00,Zone 2,VELMURUGAN Sri,Network,Recovery,High Traffic occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,
Email Delay,Critical,24/02/2025 23:00,Zone 3,Monitoring Bot,Property,Performance,DB Failure occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,
Test,Medium,14/05/2025 14:00,Zone 1,Team A,People,Recovery,T2 occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,16/05/2025 14:00
System Slowness,Low,07/02/2025 23:00,Zone 5,Operator 1,System,Failure,Email Delay occurred in Zone 3.,Issue investigated. Status: Open.,Closed,08/02/2025 23:00
T2,Critical,18/01/2025 09:00,Zone 2,Monitoring Bot,Property,Failure,System Slowness occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,19/01/2025 09:00
Test,High,06/02/2025 00:00,Zone 5,Admin,Network,Performance,Incident Test occurred in Zone 1.,Issue investigated. Status: Closed.,Open,14/02/2025 00:00
System Slowness,Medium,06/01/2025 21:00,Zone 2,Monitoring Bot,Network,Traffic,T2 occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
DB Failure,Low,16/09/2025 10:00,Zone 1,Operator 1,System,Performance,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,17/09/2025 10:00
Incident Test,High,12/10/2025 12:00,Zone 5,Monitoring Bot,Property,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,16/10/2025 12:00
Email Delay,High,10/07/2025 09:00,Zone 5,Monitoring Bot,Network,Sabotage,High alert occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,
DB Failure,High,12/10/2025 05:00,Zone 5,Monitoring Bot,People,Performance,Test occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
Incident Test,High,06/10/2025 18:00,Zone 5,Monitoring Bot,System,Sabotage,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,Open,07/10/2025 18:00
Email Delay,Low,10/06/2025 21:00,Zone 4,Monitoring Bot,Network,Sabotage,DB Failure occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
Incident Test,Critical,29/03/2025 15:00,Zone 3,Team A,System,Recovery,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
System Slowness,High,08/11/2025 05:00,Zone 3,VELMURUGAN Sri,People,Traffic,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,
Incident Test,High,02/11/2025 08:00,Zone 1,Admin,Property,Recovery,Login Issue occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,05/11/2025 08:00
T2,Medium,30/05/2025 11:00,Zone 5,VELMURUGAN Sri,People,Performance,Incident Test occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,03/06/2025 11:00
Incident Test,Low,02/08/2025 00:00,Zone 4,Monitoring Bot,Network,Failure,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Email Delay,High,28/09/2025 08:00,Zone 1,Operator 1,System,Recovery,DB Failure occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,
Incident Test,Low,21/08/2025 00:00,Zone 5,Admin,Network,Sabotage,T2 occurred in Zone 2.,Issue investigated. Status: Open.,Closed,24/08/2025 00:00
Login Issue,Low,18/01/2025 21:00,Zone 3,Monitoring Bot,Property,Recovery,High Traffic occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,
DB Failure,Medium,02/03/2025 14:00,Zone 3,Team A,Network,Failure,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,Open,04/03/2025 14:00
Network Outage,Critical,21/07/2025 04:00,Zone 1,Team A,Property,Recovery,High Traffic occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,29/07/2025 04:00
Login Issue,Low,04/10/2025 09:00,Zone 5,Operator 1,System,Traffic,Network Outage occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
Network Outage,Critical,19/10/2025 23:00,Zone 2,Team A,Property,Recovery,T2 occurred in Zone 5.,Issue investigated. Status: Open.,Closed,24/10/2025 23:00
High Traffic,Low,04/03/2025 07:00,Zone 5,Monitoring Bot,People,Traffic,Login Issue occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,07/03/2025 07:00
Email Delay,High,02/08/2025 18:00,Zone 3,VELMURUGAN Sri,People,Performance,High Traffic occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,07/08/2025 18:00
Test,Low,13/05/2025 04:00,Zone 5,Admin,Property,Failure,High alert occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
Email Delay,Critical,21/11/2025 04:00,Zone 4,VELMURUGAN Sri,People,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
T2,Critical,16/02/2025 05:00,Zone 3,VELMURUGAN Sri,Property,Recovery,Login Issue occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,
System Slowness,High,12/05/2025 23:00,Zone 3,VELMURUGAN Sri,Network,Performance,Incident Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,
Network Outage,Medium,11/07/2025 02:00,Zone 2,Monitoring Bot,People,Sabotage,Incident Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,17/07/2025 02:00
Incident Test,Critical,23/01/2025 10:00,Zone 1,VELMURUGAN Sri,People,Failure,Incident Test occurred in Zone 3.,Issue investigated. Status: Closed.,Open,28/01/2025 10:00
Incident Test,Medium,27/07/2025 02:00,Zone 2,Operator 1,Network,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: Open.,Closed,31/07/2025 02:00
Test,High,11/11/2025 02:00,Zone 1,Monitoring Bot,Property,Performance,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
T2,Low,28/03/2025 01:00,Zone 2,VELMURUGAN Sri,People,Failure,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,07/04/2025 01:00
High Traffic,High,08/03/2025 13:00,Zone 1,Operator 1,Network,Performance,Email Delay occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
T2,High,24/09/2025 03:00,Zone 4,Operator 1,People,Traffic,DB Failure occurred in Zone 4.,Issue investigated. Status: Closed.,Open,
Email Delay,High,18/07/2025 20:00,Zone 2,Monitoring Bot,System,Failure,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
Network Outage,Critical,01/08/2025 01:00,Zone 1,Team A,Network,Sabotage,Incident Test occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,31/08/2025 16:00,Zone 5,Monitoring Bot,System,Sabotage,Login Issue occurred in Zone 5.,Issue investigated. Status: Open.,Open,01/09/2025 16:00
Test,High,19/11/2025 18:00,Zone 1,VELMURUGAN Sri,System,Performance,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,26/09/2025 23:00,Zone 5,VELMURUGAN Sri,People,Failure,Login Issue occurred in Zone 5.,Issue investigated. Status: Closed.,Open,05/10/2025 23:00
Login Issue,Low,16/11/2025 05:00,Zone 1,Monitoring Bot,System,Performance,T2 occurred in Zone 3.,Issue investigated. Status: Open.,Closed,16/11/2025 05:00
DB Failure,High,13/09/2025 12:00,Zone 4,Monitoring Bot,Network,Failure,Login Issue occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,
Login Issue,Low,18/07/2025 03:00,Zone 5,Operator 1,System,Traffic,Login Issue occurred in Zone 2.,Issue investigated. Status: Open.,Open,
High alert,Medium,02/10/2025 01:00,Zone 3,VELMURUGAN Sri,Property,Performance,Incident Test occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
Test,High,13/04/2025 12:00,Zone 1,Admin,Property,Recovery,High Traffic occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,22/04/2025 12:00
System Slowness,Critical,13/01/2025 13:00,Zone 1,VELMURUGAN Sri,Property,Failure,T2 occurred in Zone 3.,Issue investigated. Status: Open.,Open,13/01/2025 13:00
Incident Test,High,11/01/2025 02:00,Zone 3,Admin,Network,Sabotage,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
Login Issue,Medium,07/08/2025 20:00,Zone 3,Team A,System,Traffic,High Traffic occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,
Email Delay,Medium,15/11/2025 12:00,Zone 1,Admin,People,Failure,Login Issue occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,18/11/2025 12:00
Test,Medium,27/06/2025 04:00,Zone 4,Team A,People,Recovery,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Open,
High Traffic,High,27/03/2025 05:00,Zone 4,VELMURUGAN Sri,System,Performance,Login Issue occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,30/03/2025 05:00
T2,Critical,03/08/2025 06:00,Zone 1,Team A,Network,Sabotage,High alert occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,05/08/2025 06:00
High alert,Low,29/01/2025 03:00,Zone 5,Operator 1,System,Failure,T2 occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,
DB Failure,Medium,24/02/2025 09:00,Zone 4,Monitoring Bot,Network,Traffic,Incident Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Login Issue,Medium,22/10/2025 11:00,Zone 1,Operator 1,System,Performance,Login Issue occurred in Zone 2.,Issue investigated. Status: Closed.,Open,31/10/2025 11:00
Network Outage,Medium,02/05/2025 12:00,Zone 3,Operator 1,System,Performance,Email Delay occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,
High alert,Medium,17/03/2025 10:00,Zone 1,Monitoring Bot,People,Sabotage,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,20/03/2025 10:00
High Traffic,Medium,08/05/2025 20:00,Zone 2,Team A,System,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,
Test,High,05/03/2025 13:00,Zone 1,Monitoring Bot,Property,Sabotage,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
T2,Low,13/10/2025 13:00,Zone 2,VELMURUGAN Sri,Property,Recovery,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Login Issue,Medium,07/03/2025 01:00,Zone 4,Operator 1,Property,Failure,High Traffic occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,
Incident Test,Low,28/08/2025 14:00,Zone 2,Monitoring Bot,Property,Sabotage,Email Delay occurred in Zone 4.,Issue investigated. Status: Closed.,Open,05/09/2025 14:00
Email Delay,High,23/01/2025 05:00,Zone 5,Monitoring Bot,Network,Traffic,Test occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,24/01/2025 05:00
T2,High,25/07/2025 00:00,Zone 5,VELMURUGAN Sri,System,Failure,T2 occurred in Zone 4.,Issue investigated. Status: Open.,Open,26/07/2025 00:00
High alert,Critical,15/10/2025 07:00,Zone 3,Team A,Network,Sabotage,Incident Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,15/10/2025 07:00
T2,Low,01/01/2025 17:00,Zone 5,VELMURUGAN Sri,System,Traffic,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
Test,Critical,04/01/2025 05:00,Zone 2,Operator 1,People,Sabotage,High Traffic occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,09/01/2025 05:00
High Traffic,High,25/09/2025 20:00,Zone 1,Monitoring Bot,People,Performance,Network Outage occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Medium,24/05/2025 18:00,Zone 1,Monitoring Bot,Network,Sabotage,Email Delay occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Network Outage,Critical,28/09/2025 18:00,Zone 5,Team A,Property,Recovery,T2 occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,
Incident Test,Low,04/05/2025 07:00,Zone 1,Admin,Network,Performance,Incident Test occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
High alert,Medium,21/11/2025 00:00,Zone 3,Monitoring Bot,Property,Recovery,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,24/11/2025 00:00
Email Delay,Medium,09/08/2025 17:00,Zone 4,Admin,Network,Recovery,Email Delay occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
Test,Critical,22/02/2025 07:00,Zone 3,Operator 1,People,Recovery,System Slowness occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,02/03/2025 07:00
High Traffic,Critical,19/06/2025 22:00,Zone 2,VELMURUGAN Sri,Property,Sabotage,Incident Test occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
High alert,Critical,09/08/2025 12:00,Zone 3,Monitoring Bot,Property,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,10/08/2025 12:00
T2,Critical,16/10/2025 08:00,Zone 4,Team A,System,Recovery,System Slowness occurred in Zone 5.,Issue investigated. Status: Open.,Closed,21/10/2025 08:00
System Slowness,Critical,29/06/2025 01:00,Zone 3,VELMURUGAN Sri,People,Traffic,Email Delay occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
Network Outage,High,06/01/2025 03:00,Zone 4,Team A,People,Failure,High Traffic occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,
High alert,Critical,18/09/2025 15:00,Zone 1,Team A,Network,Sabotage,High alert occurred in Zone 5.,Issue investigated. Status: Open.,Open,24/09/2025 15:00
DB Failure,Low,05/07/2025 21:00,Zone 5,Operator 1,System,Traffic,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
Incident Test,Critical,08/11/2025 18:00,Zone 5,Monitoring Bot,Property,Failure,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Closed,14/11/2025 18:00
Email Delay,Low,22/01/2025 16:00,Zone 1,VELMURUGAN Sri,System,Traffic,DB Failure occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,25/01/2025 16:00
DB Failure,Medium,13/02/2025 00:00,Zone 5,Team A,System,Failure,Incident Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
T2,Low,04/01/2025 03:00,Zone 2,VELMURUGAN Sri,Network,Traffic,T2 occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Incident Test,High,05/09/2025 20:00,Zone 5,Team A,Network,Recovery,System Slowness occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,07/09/2025 20:00
Test,Medium,24/04/2025 16:00,Zone 4,VELMURUGAN Sri,Property,Traffic,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,04/05/2025 16:00
Login Issue,High,26/10/2025 16:00,Zone 5,Admin,Property,Performance,Incident Test occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,
DB Failure,Low,09/06/2025 10:00,Zone 5,VELMURUGAN Sri,System,Recovery,High alert occurred in Zone 1.,Issue investigated. Status: Open.,In Progress,19/06/2025 10:00
T2,Low,24/06/2025 15:00,Zone 5,Monitoring Bot,Property,Recovery,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,24/06/2025 15:00
System Slowness,Medium,24/09/2025 07:00,Zone 2,Monitoring Bot,People,Recovery,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,02/10/2025 07:00
Email Delay,Medium,06/08/2025 23:00,Zone 5,VELMURUGAN Sri,Property,Sabotage,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
Email Delay,Low,25/11/2025 15:00,Zone 3,VELMURUGAN Sri,System,Failure,Test occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Network Outage,High,26/11/2025 14:00,Zone 5,Admin,People,Failure,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,06/12/2025 14:00
High alert,Critical,06/11/2025 08:00,Zone 3,Operator 1,System,Sabotage,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
Login Issue,Low,07/03/2025 13:00,Zone 4,Team A,People,Sabotage,Network Outage occurred in Zone 3.,Issue investigated. Status: Open.,Closed,10/03/2025 13:00
DB Failure,Low,21/08/2025 03:00,Zone 5,Team A,People,Sabotage,T2 occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,24/10/2025 05:00,Zone 3,Operator 1,People,Performance,Incident Test occurred in Zone 3.,Issue investigated. Status: Open.,Open,24/10/2025 05:00
High Traffic,Medium,24/03/2025 22:00,Zone 2,Operator 1,System,Recovery,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,03/04/2025 22:00
Login Issue,Low,27/08/2025 18:00,Zone 1,Operator 1,Property,Traffic,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
T2,Low,17/01/2025 00:00,Zone 3,Team A,People,Performance,T2 occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,25/01/2025 00:00
T2,Medium,09/07/2025 17:00,Zone 4,VELMURUGAN Sri,Network,Performance,System Slowness occurred in Zone 3.,Issue investigated. Status: Open.,Open,11/07/2025 17:00
Network Outage,Low,24/04/2025 17:00,Zone 3,Operator 1,System,Failure,Email Delay occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,
Network Outage,High,16/11/2025 15:00,Zone 5,Team A,People,Recovery,Test occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,21/11/2025 15:00
T2,High,17/07/2025 05:00,Zone 4,Operator 1,System,Sabotage,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,24/07/2025 05:00
DB Failure,Critical,23/08/2025 23:00,Zone 5,Team A,Network,Recovery,Incident Test occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,01/09/2025 23:00
Network Outage,Critical,07/03/2025 10:00,Zone 2,Team A,Property,Recovery,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Open,17/03/2025 10:00
Login Issue,Low,03/03/2025 21:00,Zone 2,Monitoring Bot,Network,Failure,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
Login Issue,Medium,14/03/2025 02:00,Zone 4,Admin,Network,Recovery,High Traffic occurred in Zone 4.,Issue investigated. Status: Open.,Open,18/03/2025 02:00
Test,Medium,29/07/2025 10:00,Zone 1,Admin,People,Sabotage,High Traffic occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,05/08/2025 10:00
Login Issue,Medium,14/01/2025 16:00,Zone 1,Monitoring Bot,System,Performance,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,
High alert,Critical,10/10/2025 19:00,Zone 3,Monitoring Bot,Network,Traffic,High Traffic occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,17/10/2025 19:00
Test,Low,25/07/2025 10:00,Zone 2,Admin,People,Failure,Incident Test occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,02/08/2025 10:00
System Slowness,Low,18/10/2025 06:00,Zone 2,VELMURUGAN Sri,System,Sabotage,DB Failure occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,26/10/2025 06:00
High Traffic,High,05/02/2025 00:00,Zone 3,Team A,System,Recovery,Test occurred in Zone 3.,Issue investigated. Status: Closed.,Open,13/02/2025 00:00
Login Issue,Low,23/07/2025 15:00,Zone 5,Admin,System,Sabotage,Test occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,30/07/2025 15:00
Network Outage,High,15/03/2025 13:00,Zone 1,Monitoring Bot,People,Traffic,High alert occurred in Zone 5.,Issue investigated. Status: Open.,Open,
Test,High,27/08/2025 23:00,Zone 4,Monitoring Bot,System,Traffic,Test occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,31/08/2025 23:00
Email Delay,High,22/01/2025 08:00,Zone 1,Team A,People,Sabotage,Test occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,
Test,Low,28/05/2025 22:00,Zone 2,Monitoring Bot,Property,Traffic,T2 occurred in Zone 3.,Issue investigated. Status: Open.,Open,01/06/2025 22:00
High Traffic,High,25/07/2025 11:00,Zone 3,Monitoring Bot,People,Failure,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,31/07/2025 11:00
Email Delay,High,22/01/2025 03:00,Zone 5,Operator 1,System,Sabotage,Network Outage occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,29/01/2025 03:00
DB Failure,Critical,08/01/2025 06:00,Zone 2,Admin,System,Sabotage,Network Outage occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,
High Traffic,Medium,11/01/2025 19:00,Zone 3,Monitoring Bot,System,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,12/01/2025 19:00
Login Issue,Low,17/03/2025 07:00,Zone 1,Operator 1,Network,Traffic,High Traffic occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
Network Outage,Critical,29/08/2025 10:00,Zone 5,Admin,Network,Sabotage,Network Outage occurred in Zone 5.,Issue investigated. Status: Open.,Closed,30/08/2025 10:00
Login Issue,Medium,11/05/2025 19:00,Zone 1,Team A,System,Recovery,DB Failure occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,12/05/2025 19:00
T2,Medium,29/10/2025 11:00,Zone 5,Monitoring Bot,Network,Sabotage,DB Failure occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,02/11/2025 11:00
Login Issue,Critical,28/04/2025 13:00,Zone 5,Admin,Property,Recovery,High alert occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,06/05/2025 13:00
Email Delay,Critical,09/08/2025 19:00,Zone 2,Monitoring Bot,Property,Failure,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,11/08/2025 19:00
Incident Test,High,25/04/2025 00:00,Zone 5,Operator 1,System,Recovery,Network Outage occurred in Zone 1.,Issue investigated. Status: Open.,Closed,30/04/2025 00:00
T2,High,15/01/2025 03:00,Zone 1,Monitoring Bot,People,Performance,T2 occurred in Zone 3.,Issue investigated. Status: Closed.,Open,
DB Failure,High,07/02/2025 02:00,Zone 4,VELMURUGAN Sri,System,Performance,High Traffic occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Test,Medium,10/02/2025 11:00,Zone 5,Monitoring Bot,People,Performance,Email Delay occurred in Zone 1.,Issue investigated. Status: Open.,In Progress,
Incident Test,Medium,01/05/2025 22:00,Zone 3,Operator 1,System,Traffic,Network Outage occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,03/05/2025 22:00
System Slowness,Critical,27/06/2025 18:00,Zone 2,Monitoring Bot,Network,Traffic,T2 occurred in Zone 4.,Issue investigated. Status: Open.,Closed,07/07/2025 18:00
High Traffic,Low,20/04/2025 01:00,Zone 2,Operator 1,Network,Sabotage,Login Issue occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
System Slowness,High,16/03/2025 05:00,Zone 2,Admin,System,Sabotage,Incident Test occurred in Zone 2.,Issue investigated. Status: Open.,Open,
DB Failure,Medium,01/11/2025 18:00,Zone 5,Admin,Network,Recovery,Network Outage occurred in Zone 3.,Issue investigated. Status: Open.,Open,
High alert,Critical,14/11/2025 20:00,Zone 4,VELMURUGAN Sri,People,Sabotage,T2 occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
Email Delay,Medium,01/05/2025 19:00,Zone 1,VELMURUGAN Sri,Property,Performance,Email Delay occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,01/05/2025 19:00
High alert,High,05/05/2025 12:00,Zone 3,Operator 1,People,Traffic,High Traffic occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
High alert,Low,03/08/2025 10:00,Zone 3,Operator 1,Property,Traffic,T2 occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,05/08/2025 10:00
Network Outage,Medium,14/07/2025 21:00,Zone 3,VELMURUGAN Sri,Property,Traffic,Email Delay occurred in Zone 4.,Issue investigated. Status: Open.,Open,23/07/2025 21:00
T2,Low,18/09/2025 18:00,Zone 4,Admin,Property,Recovery,Network Outage occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,22/09/2025 18:00
